phase,param,opt,min,max,model,pm
TO,to_v_lof,89.8,71.5,108.1,norm,89.8|12.7
TO,to_d_tof,2.16,1.12,3.21,norm,2.16|0.64
TO,to_acc_tof,1.56,1.10,2.03,norm,1.56|0.28
IC,ic_va_avg,87,72,102,norm,87|10
IC,ic_vh_avg,10.54,6.19,14.41,beta,7.76|6.38|-0.33|19.51
CL,cl_d_range,288,161,416,norm,288|54
CL,cl_v_cas_const,162,142,181,norm,162|13
CL,cl_v_mach_const,0.84,0.74,0.94,norm,0.84|0.07
CL,cl_h_cas_const,5.5,2.9,8.2,norm,5.5|1.4
CL,cl_h_mach_const,8.5,6.5,10.6,norm,8.5|1.0
CL,cl_vh_avg_pre_cas,9.78,7.42,12.14,norm,9.78|1.43
CL,cl_vh_avg_cas_const,8.21,5.46,12.71,gamma,15.57|-0.00|0.56
CL,cl_vh_avg_mach_const,6.09,3.73,8.47,norm,6.10|1.44
CR,cr_d_range,4887,-1544,11338,norm,4897|2768
CR,cr_v_cas_mean,135,121,149,norm,135|9
CR,cr_v_cas_max,153,131,175,norm,153|15
CR,cr_v_mach_mean,0.85,0.78,0.92,norm,0.85|0.05
CR,cr_v_mach_max,0.93,0.84,1.02,norm,0.93|0.06
CR,cr_h_mean,12.0,11.2,12.9,norm,12.0|0.5
CR,cr_h_max,12.3,11.5,13.1,norm,12.3|0.5
DE,de_d_range,293,216,510,gamma,4|181|28
DE,de_v_mach_const,0.82,0.72,0.92,norm,0.82|0.07
DE,de_v_cas_const,154,135,173,norm,154|13
DE,de_h_mach_const,10.4,7.5,11.8,beta,4.8|2.4|4.6|7.9
DE,de_h_cas_const,6.5,3.0,9.5,beta,3.3|2.9|0.7|10.5
DE,de_vh_avg_mach_const,-8.21,-13.54,-3.47,beta,4.03|3.56|-17.96|17.96
DE,de_vh_avg_cas_const,-9.34,-13.72,-4.95,norm,-9.33|2.67
DE,de_vh_avg_after_cas,-5.88,-7.77,-3.99,norm,-5.88|1.15
FA,fa_va_avg,74,62,86,norm,74|8
FA,fa_vh_avg,-3.89,-4.60,-3.18,norm,-3.89|0.43
LD,ld_v_app,70.5,56.7,84.3,norm,70.5|9.6
LD,ld_d_brk,2.11,0.47,3.75,norm,2.11|1.00
LD,ld_acc_brk,-1.10,-1.75,-0.45,norm,-1.10|0.39
